size,n,timeG,timeB,ObjValG,ObjValB,ObjValBR,PrecioKmG,PrecioKmB,PrecioKmBRatio
xl,500,1562,86439,1655.3,1371.2,1454.3,3.0248,2.83826,3.8129
xl,500,1636,75501,1605.1,1412.8,1489,3.7322,2.89086,5.25118
xl,500,1602,72476,1486.9,1270.6,1349,3.62779,3.0341,5.0264
xl,500,1556,75590,1390.2,1174.4,1256.7,4.04412,3.14362,4.85615
xl,500,1574,67693,1467,1291.7,1360.8,3.48375,3.00871,4.51199
xl,500,1587,78424,1441.5,1255.4,1309.9,3.16916,2.76208,3.84445
xl,500,1608,76262,1737.4,1521.8,1592.7,3.71078,2.57498,4.45671
xl,500,1557,64604,1705.1,1417.4,1487.2,3.34952,2.84941,4.09918
xl,500,1593,73811,1512.7,1243.5,1339.1,3.36213,3.26501,4.76691
xl,500,1563,74754,1531.7,1309.4,1386.4,3.0261,2.75758,3.86879
large,250,369,16087,917.9,706.5,748.2,3.04632,3.62663,6.87676
large,250,375,14839,988.2,773.9,838.9,2.87674,2.90392,3.65679
large,250,365,20347,736.9,599.5,656.8,3.01709,2.89934,3.67022
large,250,367,14275,844.5,730.9,783.6,3.79876,3.00331,4.72027
large,250,368,17340,844.2,727,758.8,2.84873,2.78225,3.56943
large,250,373,15092,795.7,635.6,692.4,3.02258,2.94353,3.80497
large,250,374,16574,793.7,676.1,725,3.00279,2.82588,3.71744
large,250,394,13948,867.8,681.7,732.8,3.05362,3.05837,4.19279
large,250,363,16828,944.9,825.7,880.7,2.66078,2.54428,3.4569
large,250,367,16828,762.2,659.1,708.8,2.98097,2.59156,3.62662
medium,100,63,2492,408.7,329.5,353.1,2.66344,2.53492,3.3454
medium,100,60,2246,380,344.2,364.7,2.57695,2.54653,3.29752
medium,100,62,2798,307.7,241.5,265.1,3.099,3.13434,4.19913
medium,100,62,2517,380.1,317.4,338,2.58536,2.55401,3.27374
medium,100,62,2237,279.2,234.8,258.5,2.87035,2.98683,3.66488
medium,100,63,2508,398.5,341.7,366.6,2.57693,3.45751,4.04347
medium,100,63,2332,323.1,250.9,276.5,2.91157,2.85536,3.89248
medium,100,62,2375,325.5,260,285.7,2.95811,2.92166,3.5791
medium,100,65,2460,271.3,227.6,250.6,3.20167,3.0201,3.91998
medium,100,61,2470,299,258.7,277.1,2.89727,2.80231,3.46418
small,10,1,39,36.9,29.3,30,2.18764,2.3803,2.69079
small,10,1,38,42.4,32.4,33.3,2.32316,2.48467,2.69549
small,10,1,39,65.6,56.9,59.4,1.50132,1.68668,1.8494
small,10,1,36,29.5,23.7,24.4,2.12265,2.46848,2.7474
small,10,1,41,33.9,30.8,33.2,2.72653,2.76135,2.97265
small,10,1,36,63.6,54.4,56.5,1.7508,2.32476,2.48314
small,10,1,42,44.9,41,45.8,1.95153,1.96554,2.29316
small,10,1,39,56.3,46.9,51.3,1.88888,2.47791,3.79298
small,10,1,39,38.1,35.5,37,1.78968,1.94116,2.38947
small,10,1,48,58.1,49.7,50.2,1.69759,1.83825,2.17191
